video;face_name;start_frame;end_frame;total_frame;start_time;end_time;duration
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_06_30_19_00_1.webm;Yukio HATOYAMA.jpg;3109;4137;4557;103;137;34
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_06_30_19_00_1.webm;Yukio HATOYAMA.jpg;4153;4553;4557;138;151;13
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_08_23_19_00_1.webm;Junichiro KOIZUMI.jpg;9;609;2825;0;20;20
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_08_23_19_00_1.webm;Junichiro KOIZUMI.jpg;685;705;2825;22;23;1
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_08_23_19_00_1.webm;Junichiro KOIZUMI.jpg;721;1317;2825;23;43;20
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_08_23_19_00_1.webm;Junichiro KOIZUMI.jpg;1333;1737;2825;44;57;13
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_08_23_19_00_1.webm;Junichiro KOIZUMI.jpg;1753;2237;2825;58;74;16
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_08_23_19_00_1.webm;Junichiro KOIZUMI.jpg;2253;2529;2825;74;84;10
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_08_23_19_00_1.webm;Junichiro KOIZUMI.jpg;2545;2821;2825;84;93;9
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;337;873;34053;11;29;18
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;1693;1745;34053;56;58;2
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;2045;2117;34053;68;70;2
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;2773;2889;34053;92;96;4
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;5589;6409;34053;186;213;27
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;6429;6441;34053;214;214;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;6473;6473;34053;215;215;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;6509;6609;34053;217;220;3
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;6621;6621;34053;220;220;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;6641;6641;34053;221;221;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8357;8457;34053;278;282;4
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8569;8633;34053;285;287;2
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8649;8701;34053;288;290;2
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8717;8725;34053;290;291;1
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8753;8769;34053;291;292;1
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8805;8865;34053;293;295;2
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8893;8901;34053;296;296;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8917;8921;34053;297;297;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8937;8957;34053;298;298;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8969;8969;34053;299;299;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;8981;9205;34053;299;307;8
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;9221;9221;34053;307;307;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Junichiro KOIZUMI.jpg;9269;9273;34053;309;309;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Takenori KANZAKI.jpg;1305;1313;34053;43;43;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Takenori KANZAKI.jpg;1325;1341;34053;44;44;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Takenori KANZAKI.jpg;1357;1373;34053;45;45;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_09_19_19_00_1.webm;Takenori KANZAKI.jpg;1913;1969;34053;63;65;2
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_13_19_00_3.webm;Yukio HATOYAMA.jpg;16253;16289;16669;542;543;1
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_13_19_00_3.webm;Yukio HATOYAMA.jpg;16305;16305;16669;543;543;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_13_19_00_3.webm;Yukio HATOYAMA.jpg;16321;16561;16669;544;552;8
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_13_19_00_3.webm;Yukio HATOYAMA.jpg;16645;16665;16669;555;555;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;7589;7589;17357;253;253;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;7673;7697;17357;255;256;1
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;10301;10305;17357;343;343;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;10321;10457;17357;344;348;4
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;11129;11417;17357;371;380;9
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;11433;11657;17357;381;388;7
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;11673;11713;17357;389;390;1
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;11729;11985;17357;391;399;8
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;12353;12369;17357;412;412;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;12385;12397;17357;413;413;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;12413;12425;17357;414;414;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;12441;12441;17357;415;415;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;12461;12481;17357;415;416;1
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;12521;12533;17357;417;418;1
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;12545;12545;17357;418;418;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;12565;12577;17357;419;419;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;12597;12621;17357;420;421;1
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;15533;15533;17357;518;518;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;15545;15549;17357;518;518;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;15569;15617;17357;519;520;1
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_20_19_00_3.webm;Junichiro KOIZUMI.jpg;15641;15693;17357;521;523;2
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_31_19_00_1.webm;Junichiro KOIZUMI.jpg;42729;42729;50421;1425;1425;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_31_19_00_1.webm;Junichiro KOIZUMI.jpg;42825;42825;50421;1428;1428;0
/net/per920a/export/das14a/satoh-lab/haolin/nhk/excerpts/2001_10_31_19_00_1.webm;Junichiro KOIZUMI.jpg;42857;42881;50421;1429;1430;1
